kernel,n,time_s,gflops,checksum
saxpy,1024,0.000001550,1.321290,3.044662e+03
saxpy,1024,0.000001530,1.338562,3.044662e+03
saxpy,1024,0.000001500,1.365333,3.044662e+03
saxpy,2048,0.000003000,1.365333,6.179817e+03
saxpy,2048,0.000003050,1.342951,6.179817e+03
saxpy,2048,0.000002950,1.388475,6.179817e+03
saxpy,4096,0.000005820,1.407560,1.242809e+04
saxpy,4096,0.000005820,1.407560,1.242809e+04
saxpy,4096,0.000005830,1.405146,1.242809e+04
saxpy,8192,0.000011810,1.387299,2.475970e+04
saxpy,8192,0.000017050,0.960938,2.475970e+04
saxpy,8192,0.000016890,0.970041,2.475970e+04
saxpy,16384,0.000029250,1.120274,4.927765e+04
saxpy,16384,0.000029420,1.113800,4.927765e+04
saxpy,16384,0.000023171,1.414182,4.927765e+04
saxpy,32768,0.000046240,1.417301,9.853922e+04
saxpy,32768,0.000046241,1.417270,9.853922e+04
saxpy,32768,0.000046091,1.421883,9.853922e+04
saxpy,65536,0.000092940,1.410286,1.969237e+05
saxpy,65536,0.000092860,1.411501,1.969237e+05
saxpy,65536,0.000092570,1.415923,1.969237e+05
saxpy,131072,0.000185031,1.416757,3.930880e+05
saxpy,131072,0.000185191,1.415533,3.930880e+05
saxpy,131072,0.000184851,1.418137,3.930880e+05
saxpy,262144,0.000369932,1.417255,7.867611e+05
saxpy,262144,0.000375752,1.395303,7.867611e+05
saxpy,262144,0.000369222,1.419980,7.867611e+05
saxpy,524288,0.000740193,1.416625,1.574512e+06
saxpy,524288,0.000742013,1.413150,1.574512e+06
saxpy,524288,0.000742903,1.411457,1.574512e+06
saxpy,1048576,0.001486288,1.411000,3.148281e+06
saxpy,1048576,0.001487247,1.410090,3.148281e+06
saxpy,1048576,0.001488717,1.408698,3.148281e+06
saxpy,2097152,0.002974735,1.409976,6.292584e+06
saxpy,2097152,0.002971434,1.411542,6.292584e+06
saxpy,2097152,0.002970025,1.412212,6.292584e+06
saxpy,4194304,0.005940950,1.411998,1.258245e+07
saxpy,4194304,0.005934889,1.413440,1.258245e+07
saxpy,4194304,0.005937369,1.412849,1.258245e+07
