job,filename,rw,iops,bw_mib,latency_mean_us,latency_p95_us,latency_p99_us
baseline_randread_128k,baseline_randread_128k.json,mixed,8744.675177,1093.083984,107.1613031,115.2,117.248
baseline_randread_4k,baseline_randread_4k.json,mixed,19278.29072,75.30566406,49.19247025,50.432,56.064
baseline_randwrite_128k,baseline_randwrite_128k.json,mixed,18096.29679,2262.036133,48.84584009,48.384,50.944
baseline_randwrite_4k,baseline_randwrite_4k.json,mixed,38648.41172,150.9697266,23.20109364,23.68,29.056
baseline_read_128k,baseline_read_128k.json,mixed,19714.37619,2464.296875,44.54307536,81.408,100.864
baseline_read_4k,baseline_read_4k.json,mixed,80338.25539,313.8212891,10.41705973,10.56,17.28
baseline_write_128k,baseline_write_128k.json,mixed,17825.03917,2228.129883,48.93422253,48.896,50.944
baseline_write_4k,baseline_write_4k.json,mixed,38651.31162,150.9814453,23.24776968,23.68,28.8
bsweep_randread_128k,bsweep_randread_128k.json,mixed,8998.366721,1124.794922,104.3440162,115.2,115.2
bsweep_randread_16k,bsweep_randread_16k.json,mixed,10913.16956,170.5175781,88.55132711,90.624,90.624
bsweep_randread_256k,bsweep_randread_256k.json,mixed,8017.032766,2004.257813,113.6426447,126.464,132.096
bsweep_randread_32k,bsweep_randread_32k.json,mixed,10612.47958,331.6396484,90.59857995,103.936,104.96
bsweep_randread_4k,bsweep_randread_4k.json,mixed,19396.95344,75.76855469,49.20265833,50.944,55.04
bsweep_randread_64k,bsweep_randread_64k.json,mixed,10068.59771,629.2871094,94.48520519,104.96,108.032
bsweep_read_128k,bsweep_read_128k.json,mixed,21181.79394,2647.723633,40.67833268,57.6,89.6
bsweep_read_16k,bsweep_read_16k.json,mixed,62639.74534,978.7451172,13.37846325,13.376,19.84
bsweep_read_256k,bsweep_read_256k.json,mixed,11157.59475,2789.398438,77.48942424,80.384,114.176
bsweep_read_32k,bsweep_read_32k.json,mixed,46579.74734,1455.616211,17.84509126,18.048,24.96
bsweep_read_4k,bsweep_read_4k.json,mixed,80432.55225,314.1894531,10.38560518,10.56,17.28
bsweep_read_64k,bsweep_read_64k.json,mixed,33847.37175,2115.459961,24.97847386,24.96,82.432
mix_100r,mix_100r.json,mixed,19403.05323,75.79296875,49.14514837,50.432,54.528
mix_50r,mix_50r.json,mixed,24546.51512,95.88378906,38.11185472,50.432,62.208
mix_70r,mix_70r.json,mixed,22134.22886,86.45996094,42.59858424,50.432,54.528
qd_1,qd_1.json,mixed,23612.57958,92.23632813,40.00487018,50.432,50.944
qd_128,qd_128.json,mixed,314942.5019,1230.244141,403.7316792,423.936,452.608
qd_16,qd_16.json,mixed,271780.174,1061.640625,56.43188521,76.288,101.888
qd_2,qd_2.json,mixed,43549.74834,170.1152344,43.61443536,52.992,55.04
qd_32,qd_32.json,mixed,314367.6211,1227.998047,99.10254661,120.32,146.432
qd_4,qd_4.json,mixed,81030.99897,316.5263672,47.12007875,55.552,68.096
qd_64,qd_64.json,mixed,313579.0474,1224.917969,201.399839,222.208,248.832
qd_8,qd_8.json,mixed,152522.9826,595.7919922,50.31910204,62.72,79.36
