mode,throughput,p50_ms,p95_ms,p99_ms,lock_wait_p95_ms,per_tier,total_ops,migrations,promotions,demotions,migration_time_s,ping_pongs,num_threads,hot_fraction,zipf_theta
BASELINE,1116.218284423248,10.241866111755371,11.465334892272946,19.96880531311036,0.7111072540283112,"{'DDR': 1669, 'CXL': 1812, 'SSD': 4219}",7700,0,0,0,0.0,0,8,0.05,0.0
TAL,5788.413930552611,0.25272369384765625,10.08155345916748,10.40163516998291,0.010251998901367188,"{'DDR': 35492, 'CXL': 1640, 'SSD': 2407}",39539,405,72,333,1.8369999999999922,0,8,0.05,0.0
BASELINE,3017.7042135554725,10.071754455566406,19.26387548446654,27.40942239761352,8.752751350402812,"{'DDR': 4136, 'CXL': 5810, 'SSD': 10782}",20728,0,0,0,0.0,0,24,0.05,0.0
TAL,10094.272023537495,0.7104873657226562,10.085105895996094,11.332559585571286,0.7085800170898438,"{'DDR': 63273, 'CXL': 2560, 'SSD': 3748}",69581,388,81,307,1.8937599999999917,0,24,0.05,0.0
BASELINE,5077.53503295124,10.081291198730469,26.679944992065423,40.87702751159668,16.175508499145497,"{'DDR': 7195, 'CXL': 9459, 'SSD': 17943}",34597,0,0,0,0.0,0,48,0.05,0.0
TAL,10423.393411737517,1.5769004821777344,10.304343700408936,14.59561109542867,4.5338630676269585,"{'DDR': 64334, 'CXL': 2606, 'SSD': 3990}",70930,337,80,257,1.676839999999994,0,48,0.05,0.0
BASELINE,2794.1108559297113,2.2639036178588867,16.153156757354544,84.54402685165401,5.533063411712618,"{'CXL': 6449, 'DDR': 3735, 'SSD': 8950}",19134,0,0,0,0.0,0,24,0.01,0.8
TAL,5783.415039492593,1.1246204376220703,10.751128196716309,13.20006847381593,0.010967254638671875,"{'CXL': 6847, 'DDR': 22016, 'SSD': 10808}",39671,320,130,190,1.5751999999999948,0,24,0.01,0.8
BASELINE,1762.2046395459329,10.1470947265625,73.67359399795532,157.45021104812622,63.31269741058347,"{'CXL': 3577, 'DDR': 2133, 'SSD': 6408}",12118,0,0,0,0.0,0,24,0.05,0.8
TAL,5754.636817847268,1.1758804321289062,10.7072114944458,13.215994834899925,0.010967254638671875,"{'DDR': 21813, 'CXL': 6790, 'SSD': 10825}",39428,334,129,205,1.7696799999999933,1,24,0.05,0.8
BASELINE,1555.0482019501032,10.102987289428711,127.93976068496704,175.2146959304814,117.7557110786438,"{'DDR': 2003, 'CXL': 3012, 'SSD': 5641}",10656,0,0,0,0.0,0,24,0.2,0.8
TAL,5601.625811134066,1.2691020965576172,10.759592056274414,13.326978683471662,0.011682510375976562,"{'DDR': 20697, 'CXL': 6778, 'SSD': 10866}",38341,305,113,192,1.4673999999999956,0,24,0.2,0.8
